01045001,Ng?ti Hao,Pehiaweri,"Ngunguru Road, Glenbervie",,,,,,,
01045002,Ng?ti Hao,Whakapara,"Puhipuhi Road, Whakapara",,,,,,,
01045003,Ng?ti Hau,Akerama,"Haile Road, T?wai",,,,,,,
01045004,Ng?ti Hau,Ng?raratunua,"Church Road, Ng?raratunua",,,,,,,
01045005,Ng?ti Hau,Pehiaweri,"Ngunguru Road, Glenbervie",,,,,,,
01045006,Ng?ti Hau,Whakapara,"Puhipuhi Road, Whakapara",,,,,,,
01045007,Ng?ti Hine,Ng?raratunua,"Church Road, Ng?raratunua",,,,,,,
01045008,Ng?ti Kahu o Torongare,Ng?raratunua,"Church Road, Ng?raratunua",,,,,,,
01045009,Te Parawhau,Ng?raratunua,"Church Road, Ng?raratunua",,,,,,,
01045010,Te Parawhau,Pehiaweri,"Ngunguru Road, Glenbervie",,,,,,,
01045011,Te Parawhau,Toetoe,"Toetoe Road, ?taika",,,,,,,
01045012,Te Patuharakeke,Takahiwai,"229 Takahiwai Road, Takahiwai",,,,,,,
01045013,Te Uriroroi,Pehiaweri,"Ngunguru Road, Glenbervie",,,,,,,
01045014,Te Uriroroi,Toetoe,"Toetoe Road, ?taika",,,,,,,
01045015,Uri o Te Tangata,Te Kotahitanga Marae o Otangarei,"155 William Jones Drive, Whangarei",,,,,,,
01045016,Uri o Te Tangata,Terenga Par?oa,"Cnr Porowini and Tawera Roads, Whangarei",,,,,,,
01045017,Ng?ti Horahia,Parahaki,"4103 Mangakahia Road, Nukutawhiti",,,,,,,
01045018,Ng?ti Horahia,Parakao,"2909 Mangak?hia Road, Parakao",,,,,,,
01045019,Ng?ti Horahia,Te Oruoru,"Rika Road, Pak?tai",,,,,,,
01045020,Ng?ti Horahia,Te T?rai o R?hiri,"Opouteke Road, Pak?tai",,,,,,,
01045021,Ng?ti Moe,Parakao,"2909 Mangak?hia Road, Parakao",,,,,,,
01045022,Ng?ti Moe,Te Oruoru,"Rika Road, Pak?tai",,,,,,,
01045023,Ng?ti Moe,Te T?rai o R?hiri,"Opouteke Road, Pak?tai",,,,,,,
01045024,Ng?ti Te Rino,Maung?rongo,"689 Mangak?hia Road, Porot?",,,,,,,
01045025,Ng?ti Te Rino,Parahaki,"4103 Mangakahia Road, Nukutawhiti",,,,,,,
01045026,Ng?ti Te Rino,Parakao,"2909 Mangak?hia Road, Parakao",,,,,,,
01045027,Ng?ti Te Rino,Te Oruoru,"Rika Road, Pak?tai",,,,,,,
01045028,Ng?ti Te Rino,Te T?rai o R?hiri,"Opouteke Road, Pak?tai",,,,,,,
01045029,Ng?ti Toki,Parahaki,"4103 Mangakahia Road, Nukutawhiti",,,,,,,
01045030,Ng?ti Toki,Parakao,"2909 Mangak?hia Road, Parakao",,,,,,,
01045031,Ng?ti Toki,Te Oruoru,"Rika Road, Pak?tai",,,,,,,
01045032,Ng?ti Toki,Te T?rai o R?hiri,"Opouteke Road, Pak?tai",,,,,,,
01045033,Ng?ti Whakahotu,Parahaki,"4103 Mangakahia Road, Nukutawhiti",,,,,,,
01045034,Ng?ti Whakaminenga,Te Kiore,"Ngapipito Road, Kaikohe",,,,,,,
01045035,Te Kumutu,Parahaki,"4103 Mangakahia Road, Nukutawhiti",,,,,,,
01045036,Te Kumutu,Te Oruoru,"Rika Road, Pak?tai",,,,,,,
01045037,Te Parawhau,Korokota,"496 Tokiri Rd, T?toki",,,,,,,
01045038,Te Parawhau,Maung?rongo,"689 Mangak?hia Road, Porot?",,,,,,,
01045039,Te Parawhau,Parakao,"2909 Mangak?hia Road, Parakao",,,,,,,
01045040,Te Parawhau,Tangiter?ria,"Pukehuia Road, Tangiter?ria",,,,,,,
01045041,Te Uriroroi,Maung?rongo,"689 Mangak?hia Road, Porot?",,,,,,,
01045042,Te Uriroroi,Tangiter?ria,"Pukehuia Road, Tangiter?ria",,,,,,,
01045043,Ng?i T?wake,Puker?t? (?taua),"Mangatawa Rd, ?taua",,,,,,,
01045044,Ng?i T?wake ki te Waoku,Kaingahoa (Mataraua),"945 Mataraua Road, Mataraua",,,,,,,
01045045,Ng?i T?wake ki te Waoku,Ng?i T?wake,"1235 Mataraua Road, Mataraua",,,,,,,
01045046,Ng?i T?wake ki te Waoku,Paripari,Mataraua,,,,,,,
01045047,Ng?i T?wake ki te Waoku,Te Huehue,"Steward Road, Mataraua",,,,,,,
01045048,Ngaitu te Auru (Ngaitu),Puker?t? (?taua),"Mangatawa Rd, ?taua",,,,,,,
01045049,Ng?ti Hine,Te H?ruhi,"Otaenga Road, Awarua",,,,,,,
01045050,Ng?ti Hinemutu,?korihi,"Te Iringa West Road, Te Iringa",,,,,,,
01045051,Ng?ti Hinemutu,Parihaka,"101 Te Iringa Road, Te Iringa",,,,,,,
01045052,Ng?ti Hinemutu,Te Iringa,"356 Mataraua Road, Te Iringa",,,,,,,
01045053,Ng?ti Kura,Kohewhata,"6869 Mangak?hia Road, Kaikohe",,,,,,,
01045054,Ng?ti Kura,Te Kotahitanga,"Rangihamama Road, T?heke",,,,,,,
01045055,Ng?ti M?hia,Te H?ruhi,"Otaenga Road, Awarua",,,,,,,
01045056,Ng?ti M?hia,Ururangi,"Tokowhero Road, Awarua",,,,,,,
01045057,Ng?ti Moerewa,Te Hung?iti,"6207 Mangak?hia Road, Tautoro",,,,,,,
01045058,Ng?ti Moerewa,Te Maata,"6242 Mangak?hia Road, Tautoro",,,,,,,
01045059,Ng?ti Moerewa,Te R?ngi,"6328 Mangakahia Rd, Tautoro",,,,,,,
01045060,Ng?ti Rangi,Kaingahoa (Mataraua),"945 Mataraua Road, Mataraua",,,,,,,
01045061,Ng?ti Rangi,Te Hung?iti,"6207 Mangak?hia Road, Tautoro",,,,,,,
01045062,Ng?ti Rangi,Te Maata,"6242 Mangak?hia Road, Tautoro",,,,,,,
01045063,Ng?ti Tautahi,?korihi,"Te Iringa West Road, Te Iringa",,,,,,,
01045064,Ng?ti Tautahi,Parihaka,"101 Te Iringa Road, Te Iringa",,,,,,,
01045065,Ng?ti Tautahi,Te Iringa,"356 Mataraua Road, Te Iringa",,,,,,,
01045066,Ng?ti Tautahi,Te Kotahitanga,"Rangihamama Road, T?heke",,,,,,,
01045067,Ng?ti Ueoneone,?korihi,"Te Iringa West Road, Te Iringa",,,,,,,
01045068,Ng?ti Whakaeke,Te Kotahitanga,"Rangihamama Road, T?heke",,,,,,,
01045069,Takoto K?,Kohewhata,"6869 Mangak?hia Road, Kaikohe",,,,,,,
01045070,Takoto K?,Te Kotahitanga,"Rangihamama Road, T?heke",,,,,,,
01045071,Te Uri o Hua,Kohewhata,"6869 Mangak?hia Road, Kaikohe",,,,,,,
01045072,Te Uri o Hua,Te Kotahitanga,"Rangihamama Road, T?heke",,,,,,,
01045073,K?hatutaka,Mangamuka,"Iwitaua Road, Mangamuka",,,,,,,
01045074,K?hatutaka,Te Arohanui (Mangataipa),"203 Mangataip? Road, Mangamuka Bridge",,,,,,,
01045075,Ng?i T?wake ki te Moana,Mokonui?rangi,"1627 H?reke Road, Maraeroa",,,,,,,
01045076,Ng?i T?wake ki te Moana,Piki te Aroha (R?hiri),"Harris Road, R?hiri",,,,,,,
01045077,Ng?i T?wake ki te Moana,Puketawa,"1400 H?reke Road, Utakura",,,,,,,
01045078,Ng?i T?wake ki te Moana,Tauratumaru,"1317 H?reke Road, Utakura",,,,,,,
01045079,Ng?i T?wake ki te Tuawhenua,Piki te Aroha (R?hiri),"Harris Road, R?hiri",,,,,,,
01045080,Ng?ti Hao,Paremata,"Paremata Road, H?reke",,,,,,,
01045081,Ng?ti Hao,Piki te Aroha (R?hiri),"Harris Road, R?hiri",,,,,,,
01045082,Ng?ti Hao,Puketawa,"1400 H?reke Road, Utakura",,,,,,,
01045083,Ng?ti Hao,Tauratumaru,"1317 H?reke Road, Utakura",,,,,,,
01045084,Ng?ti Toro,Mataitaua,"632 Rangiahua Road, H?reke",,,,,,,
01045085,Ng?ti Toro,Mokonui?rangi,"1627 H?reke Road, Maraeroa",,,,,,,
01045086,Ng?ti Toro,Paremata,"Paremata Road, H?reke",,,,,,,
01045087,Ng?ti Toro,Piki te Aroha (R?hiri),"Harris Road, R?hiri",,,,,,,
01045088,Ng?ti Toro,Puketawa,"1400 H?reke Road, Utakura",,,,,,,
01045089,Ng?ti Toro,Rangatahi,"1560 H?reke Road, Maraeroa",,,,,,,
01045090,Te Honihoni,Puketawa,"1400 H?reke Road, Utakura",,,,,,,
01045091,Te Honihoni,Tauratumaru,"1317 H?reke Road, Utakura",,,,,,,
01045092,Te Ngahengahe,Mokonui?rangi,"1627 H?reke Road, Maraeroa",,,,,,,
01045093,Te Ngahengahe,Rangatahi,"1560 H?reke Road, Maraeroa",,,,,,,
01045094,Te Popoto,Rangatahi,"1560 H?reke Road, Maraeroa",,,,,,,
01045095,Te Popoto,Tauratumaru,"1317 H?reke Road, Utakura",,,,,,,
01045096,Te Uri M?hoe,Mangamuka,"Iwitaua Road, Mangamuka",,,,,,,
01045097,Te Uri M?hoe,Te Arohanui (Mangataipa),"203 Mangataip? Road, Mangamuka Bridge",,,,,,,
01045098,Ng?ti Hau,Te P?ti (?manaia),"?manaia Road, ?manaia",,,,,,,
01045099,Ng?ti Kairewa,M?tai Aranui,"Wikaira Road, Whirinaki",,,,,,,
01045100,Ng?ti Kairewa,M?ria,"Whirinaki School Road, Whirinaki",,,,,,,
01045101,Ng?ti Kairewa,P? te Aroha,"824 SH 12, Whirinaki",,,,,,,
01045102,Ng?ti Kerewheti,M?tai Aranui,"Wikaira Road, Whirinaki",,,,,,,
01045103,Ng?ti Kerewheti,M?ria,"Whirinaki School Road, Whirinaki",,,,,,,
01045104,Ng?ti Kerewheti,P? te Aroha,"824 SH 12, Whirinaki",,,,,,,
01045105,Ng?ti Korokoro,K?k?huia (?m?pere),"47 Akiha Street, ?m?pere",,,,,,,
01045106,Ng?ti Korokoro,P?kanae,"200 SH 12, ?pononi",,,,,,,
01045107,Ng?ti Korokoro,Te Whakamaharatanga (Waimamaku),"30 Waimamaku Beach Road, Waiotemarama",,,,,,,
01045108,Ng?ti Korokoro,Waiwhatawhata (Aotea),"8098 SH 12, Waiwhatawhata",,,,,,,
01045109,Ng?ti P?kau,M?huri,"154 Ramsay Road, T?heke",,,,,,,
01045110,Ng?ti P?kau,T?heke,"3184 SH 12, T?heke",,,,,,,
01045111,Ng?ti Rauwawe,T?heke,"3184 SH 12, T?heke",,,,,,,
01045112,Ng?ti Te Pou,K?k?huia (?m?pere),"47 Akiha Street, ?m?pere",,,,,,,
01045113,Ng?ti Te Pou,M?tai Aranui,"Wikaira Road, Whirinaki",,,,,,,
01045114,Ng?ti Te Pou,M?ria,"Whirinaki School Road, Whirinaki",,,,,,,
01045115,Ng?ti Te Pou,P? te Aroha,"824 SH 12, Whirinaki",,,,,,,
01045116,Ng?ti Te Pou,Te P?ti (?manaia),"?manaia Road, ?manaia",,,,,,,
01045117,Ng?ti Te Pou,Te Whakamaharatanga (Waimamaku),"30 Waimamaku Beach Road, Waiotemarama",,,,,,,
01045118,Ng?ti Toro,Mataitaua,"632 Rangiahua Road, H?reke",,,,,,,
01045119,Ng?ti Toro,Mokonui?rangi,"1627 H?reke Road, Maraeroa",,,,,,,
01045120,Ng?ti Toro,Motukiore,"651 Motukiore Road, H?reke",,,,,,,
01045121,Ng?ti Toro,Paremata,"Paremata Road, H?reke",,,,,,,
01045122,Ng?ti Toro,Piki te Aroha (R?hiri),"Harris Road, R?hiri",,,,,,,
01045123,Ng?ti Toro,Rangatahi,"1560 H?reke Road, Maraeroa",,,,,,,
01045124,Ng?ti Toro,Tauratumaru,"1317 H?reke Road, Utakura",,,,,,,
01045125,Ng?ti Tuapango,Matahuru Papakainga,"764 Tahuna Road, ?hinewai",,,,,,,
01045126,Ng?ti Tuapango,M?ria,"Whirinaki School Road, Whirinaki",,,,,,,
01045127,Ng?ti Tuapango,P? te Aroha,"824 SH 12, Whirinaki",,,,,,,
01045128,Ng?ti Wh?rara,K?k?huia (?m?pere),"47 Akiha Street, ?m?pere",,,,,,,
01045129,Ng?ti Wh?rara,P?kanae,"200 SH 12, ?pononi",,,,,,,
01045130,Ng?ti Wh?rara,Waiwhatawhata (Aotea),"8098 SH 12, Waiwhatawhata",,,,,,,
01045131,Te Hikutu,M?tai Aranui,"Wikaira Road, Whirinaki",,,,,,,
01045132,Te Hikutu,M?ria,"Whirinaki School Road, Whirinaki",,,,,,,
