11095001,Te R?nanga o Awarua,Te Rau Aroha,"Bradshaw Street, Bluff",,,,
11095002,Hokonui R?nanga,O Te Ika Rama,"McKinnon Road, Gore",,,,
11095003,K?ti Huirapa R?naka Ki Puketeraki,Huirapa (Puketeraki),"Apes Road, Karit?ne",,,,
11095004,Te R?nanga o Kaik?ura,Takahanga,"Takahanga Terrace, Kaik?ura",,,,
11095005,Te R?nanga o Makaawhio,Te Tauraka Waka a M?ui,"SH6, Mahitahi (Bruce Bay)",,,,
11095006,Taumutu R?nanga,Ng?ti Moki,"Pohau Road, Taumutu",,,,
11095007,Te R?nanga o Ng?ti Waewae,T?huru,"1 Old Christchurch Road, Arahura",,,,
11095008,Te R?nanga o Onuku,?nuku,"R?paki Drive, Governors Bay",,,,
11095009,Te R?nanga o Oraka Aparima,Takutai o Te Titi,"389 ?nuku Road, Akaroa",,,,
11095010,R?paki R?nanga,R?paki,"Colac Bay, Riverton",,,,
11095011,Te Ng?i o T??huriri,T??hiwi,"Tuahiwi Road, Tuahiwi",,,,
11095012,Te R?nanga o Arowhenua,Te Hapa o Niu Tireni,"Huirapa Street, Temuka",,,,
11095013,Te R?nanga o Koukourarata,Koukourarata,"Puari Road, Koukourarata (Port Levy)",,,,
11095014,Te R?nanga o Moeraki,Moeraki,"Tenby Road, Moeraki",,,,
11095015,Te R?nanga o ?t?kou,?t?kou,"Tamatea Road, Otago Heads",,,,
11095016,Te R?nanga o Waihao,Waihao,"M?ori Road, Waimate",,,,
11095017,Waih?pai R?naka,Murihiku,"Tramway Road, Invercargill",,,,
11095018,Wairewa R?nanga,Wairewa,"4345 SH 75, Little River",,,,
,,,,,,,
,,,,,,,
