09065001,Ng?i Te Ng?ruru,M?kai,"M?kai Road, Taihape"
09065002,Ng?i Te Upokoiri,M?kai,"M?kai Road, Taihape"
09065003,Ng?ti Hau,Moawhango,"Napier - Taihape Road, Moawhango"
09065004,Ng?ti Hau,Te Riu o Puanga,"Napier Taihape or Gentle Annie Road, Moawhango"
09065005,Ng?ti Hinemanu,M?kai,"M?kai Road, Taihape"
09065006,Ng?ti Hinemanu,Winiata,"5035 SH 1, Taihape"
09065007,Ng?ti Honom?kai,M?kai,"M?kai Road, Taihape"
09065008,Ng?ti Paki,M?kai,"M?kai Road, Taihape"
09065009,Ng?ti Paki,Winiata,"5035 SH 1, Taihape"
09065010,Ng?ti Tamakorako,Moawhango,"Napier - Taihape Road, Moawhango"
09065011,Ng?ti Tamakorako,Te Riu o Puanga,"Napier Taihape or Gentle Annie Road, Moawhango"
