06045001,Ng?i Tawehi,Muriwai,"12 Tamanuhiri Road, Muriwai"
06045002,Ng?i Tawehi,Rangiwaho,"2840 SH 2, Bartletts"
06045003,Ng?i Tawehi,Waiari,"11 T?manuhiri Road, Muriwai"
06045004,Ng?ti Kahutia,Muriwai,"12 Tamanuhiri Road, Muriwai"
06045005,Ng?ti Kahutia,Rangiwaho,"2840 SH 2, Bartletts"
06045006,Ng?ti Kahutia,Waiari,"11 T?manuhiri Road, Muriwai"
06045007,Ng?ti Rangitauwhiwhia,Muriwai,"12 Tamanuhiri Road, Muriwai"
06045008,Ng?ti Rangitauwhiwhia,Rangiwaho,"2840 SH 2, Bartletts"
06045009,Ng?ti Rangitauwhiwhia,Waiari,"11 T?manuhiri Road, Muriwai"
06045010,Ng?ti Rangiwaho,Muriwai,"12 Tamanuhiri Road, Muriwai"
06045011,Ng?ti Rangiwaho,Rangiwaho,"2840 SH 2, Bartletts"
06045012,Ng?ti Rangiwaho,Waiari,"11 T?manuhiri Road, Muriwai"
06045013,Ng?ti Rangiwahomatua,Muriwai,"12 Tamanuhiri Road, Muriwai"
06045014,Ng?ti Rangiwahomatua,Rangiwaho,"2840 SH 2, Bartletts"
06045015,Ng?ti Rangiwahomatua,Waiari,"11 T?manuhiri Road, Muriwai"
