09015001,Ng?ti Hika Pirau,Tini Waitara,"394 Turakina Beach Road, Turakina"
09015002,Ng?ti Hinewai,Tini Waitara,"394 Turakina Beach Road, Turakina"
09015003,Ng?ti Ika,Tini Waitara,"394 Turakina Beach Road, Turakina"
09015004,Ng?ti Kiriwheke,Tini Waitara,"394 Turakina Beach Road, Turakina"
09015005,Ng?ti R?keikauwhata,Tini Waitara,"394 Turakina Beach Road, Turakina"
09015006,Ng?ti Rangipuhi,Tini Waitara,"394 Turakina Beach Road, Turakina"
09015007,Ng?ti Rangit?moana,Tini Waitara,"394 Turakina Beach Road, Turakina"
09015008,Ng?ti Ratua,Tini Waitara,"394 Turakina Beach Road, Turakina"
09015009,Ng?ti Riki,Tini Waitara,"394 Turakina Beach Road, Turakina"
09015010,Ng?ti Tamatea,Tini Waitara,"394 Turakina Beach Road, Turakina"
09015011,Ng?ti Tamawaina,Tini Waitara,"394 Turakina Beach Road, Turakina"
09015012,Ng?ti Tumoetere,Tini Waitara,"394 Turakina Beach Road, Turakina"
09015013,Ng?ti Ika,Whangaehu,"Whangaehu Beach Road, Whangaehu"
09015014,Ng?ti Kiriwheke,Whangaehu,"Whangaehu Beach Road, Whangaehu"
09015015,Ng?ti Rangipakini,Whangaehu,"Whangaehu Beach Road, Whangaehu"
09015016,Ng?ti Rangiwaho,Whangaehu,"Whangaehu Beach Road, Whangaehu"
09015017,Ng?ti Rangiwhakaturia,Whangaehu,"Whangaehu Beach Road, Whangaehu"
09015018,Ng?ti Ruahau,Whangaehu,"Whangaehu Beach Road, Whangaehu"
09015019,Ng? Wairiki,Kauang?roa,"Kumuiti Road, Fordell"
09015020,Ng?ti Horu,Kauang?roa,"Kumuiti Road, Fordell"
09015021,Ng?ti Houm?hanga,Kauang?roa,"Kumuiti Road, Fordell"
09015022,Ng?ti Huru Te R?,Kauang?roa,"Kumuiti Road, Fordell"
09015023,Ng?ti Paenga,Kauang?roa,"Kumuiti Road, Fordell"
09015024,Ng?ti Tukoreo,Kauang?roa,"Kumuiti Road, Fordell"
