02025001,Ng?ti Koheru,Ko Te R? Matiti,"Wharekaho Road, Whitianga"
02025002,Ng?ti Manukarere,Ko Te R? Matiti,"Wharekaho Road, Whitianga"
02025003,Ng?ti Matau,Ko Te R? Matiti,"Wharekaho Road, Whitianga"
02025004,Ng?ti Piri,Ko Te R? Matiti,"Wharekaho Road, Whitianga"
02025005,Ng?ti Rakawera,Ko Te R? Matiti,"Wharekaho Road, Whitianga"
02025006,Ng?ti Taura,Ko Te R? Matiti,"Wharekaho Road, Whitianga"
02025007,Ng?ti Tinirau,Ko Te R? Matiti,"Wharekaho Road, Whitianga"
02025008,Ng?ti Tuhukea,Ko Te R? Matiti,"Wharekaho Road, Whitianga"
02025009,Ng?ti Whakaruru,Ko Te R? Matiti,"Wharekaho Road, Whitianga"
02025010,Te Rapu P?,Ko Te R? Matiti,"Wharekaho Road, Whitianga"
