07025001,Kurahikakawa,Waiapapa-a-Iwi Mohaka,"582 Mohaka Township Road, M?haka"
07025002,M?tawhaiti,Iwitea,"Iwitea Road, Wairoa"
07025003,Ng?i R?kat?,Te R?kat?,"Kaiwaitau Road, M?hia"
07025004,Ng?i Tamaterangi,Aranui,"Devery Road, Frasertown"
07025005,Ng?i Tamaterangi,Rangi?hua,"331 Rangiahua Road, Rangiahua"
07025006,Ng?i T?nemitirangi,Hurumua,"Huramua East Road, Wairoa"
07025007,Ng?i Te Apatu,T?kitimu (Waihirere),"Waihirere Road, Wairoa"
07025008,Ng?i Te Ipu,Whakak?,"1731 SH 2, Wairoa"
07025009,Ng?i Te Kapuam?totoru,Ruataniwha,"144 Ruataniwha Road, Wairoa"
07025010,Ng?i T?,Kaiuku (Oku-ra-renga),"349 M?hia East Coast Road, M?hia"
07025011,Ng?i T?,M?hanga (Rongomaiwahine),"728 Mahanga Road, N?haka"
07025012,Ng?i T?,Tuahuru,"644 M?hia East Coast Road, M?hia"
07025013,Ng?ti Hine,Whakak?,"1731 SH 2, Wairoa"
07025014,Ng?ti Hinehika,Te Reinga,"2545 Tiniroto Road, Te Reinga"
07025015,Ng?ti Hinemihi,Hinemihi,"314 Ruataniwha Road, Wairoa"
07025016,Ng?ti Hinepehinga,P?tahi,"609 SH 38, Frasertown"
07025017,Ng?ti Hinepua,Whakak?,"1731 SH 2, Wairoa"
07025018,Ng?ti Hing?nga (Te Aitanga o Pourangahua),Erep?ti,"1728 Ruakituri Road, Te Reinga"
07025019,Ng?ti Kahu,Kihitu,"452c Rauhina Roadway, Wairoa"
07025020,Ng?ti K?hatu,Te Reinga,"2545 Tiniroto Road, Te Reinga"
07025021,Ng?ti Kurupakiaka (Te K?witi),Taihoa,"174 SH 2, Wairoa"
07025022,Ng?ti M?koro,Te Mira (Whet? M?rama / Mill P?),"489 Frasertown Road, Wairoa"
07025023,Ng?ti M?tangirau,Whaakirangi,"Frasertown Road, Wairoa"
07025024,Ng?ti Mihi,P?k?whai,"P?k?whai Road, Frasertown"
07025025,Ng?ti Moewhare,T?kitimu (Waihirere),"Waihirere Road, Wairoa"
07025026,Ng?ti P?hauwera,Kahungunu,"Putere Road, Raupunga"
07025027,Ng?ti P?hauwera,Kurahikakawa,"SH 2, Waihua"
07025028,Ng?ti P?hauwera,Raupunga,"36 Putere Road, Raupunga"
07025029,Ng?ti P?hauwera,Te P?tere,"2084 P?tere Road, Raupunga"
07025030,Ng?ti P?hauwera,Waiapapa-a-Iwi Mohaka,"582 Mohaka Township Road, M?haka"
07025031,Ng?ti Peehi,Aranui,"Devery Road, Frasertown"
07025032,Ng?ti Tama,Kaiuku (Oku-ra-renga),"349 M?hia East Coast Road, M?hia"
07025033,Ng?ti Tama,Ruawharo,"Opoutama Road, ?poutama"
07025034,Ng?ti Tama,Tuahuru,"644 M?hia East Coast Road, M?hia"
07025035,Rakaipaaka,Kahungunu (Te T?hinga),"Ihaka Street, N?haka"
07025036,Rakaipaaka,Tamakahu,"3502 SH 2, N?haka"
07025037,Rakaipaaka,T?ne-nui-a-Rangi,"3563 SH 2, N?haka"
07025038,Rakaipaaka,Te Kotahitanga,"Epanaia Street, N?haka"
07025039,Rakaipaaka,Te Manutai,"2648 SH 2, N?haka"
07025040,Rakaipaaka,Te Poho o Te Rehu (Te Rehu),"Pomana P? Road, N?haka"
07025041,Rongomaiwahine,Kaiuku (Oku-ra-renga),"349 M?hia East Coast Road, M?hia"
07025042,Rongomaiwahine,M?hanga (Rongomaiwahine),"728 Mahanga Road, N?haka"
07025043,Rongomaiwahine,Ruawharo,"Opoutama Road, ?poutama"
07025044,Rongomaiwahine,Tuahuru,"644 M?hia East Coast Road, M?hia"
07025045,Ruapani,Te P?tere,"2084 P?tere Road, Raupunga"
