07075001,Marangatuhetaua (Ng?ti T?),Tangoio,"1826 SH2, Tangoio"
07075002,Ng? Hau E Wh?,Pukemokimoki,"191 Riverbend Road, Onekawa"
07075003,Ng?i T?tara,Tangoio,"1826 SH2, Tangoio"
07075004,Ng?i T?whao,Wharerangi,"651 Puketitiri Road, Puketapu"
07075005,Ng?i Te Ruruku ki Tangoio,Tangoio,"1826 SH2, Tangoio"
07075006,Ng?ti Hinepare,Moteo,"48 Moteo Marae Road, Puketapu"
07075007,Ng?ti Hinepare,Timikara,"10 Moteo Marae Road, Puketapu"
07075008,Ng?ti Hinepare,Wharerangi,"651 Puketitiri Road, Puketapu"
07075009,Ng?ti Hineuru,Te H?roto,"4867 SH 35, Te H?roto"
07075010,Ngati H?ri,Kohup?tiki,"73 Kohup?tiki Road, Clive"
07075011,Ng?ti Kurum?kihi (Ng?i T?tara),Tangoio,"1826 SH2, Tangoio"
07075012,Ng?ti M?hu,Moteo,"48 Moteo Marae Road, Puketapu"
07075013,Ng?ti M?hu,Timikara,"10 Moteo Marae Road, Puketapu"
07075014,Ng?ti M?hu,Wharerangi,"651 Puketitiri Road, Puketapu"
07075015,Ng?ti Matepu,Pet?ne,"Tait Road, Bay View"
07075016,Ng?ti P?rau,Waiohiki,"Waiohiki Road, Waiohiki"
07075017,Ng?ti Toaharapaki,Kohup?tiki,"73 Kohup?tiki Road, Clive"
07075018,Ng?ti T?,Tangoio,"1826 SH2, Tangoio"
07075019,Ng?ti Whakaari,Pet?ne,"Tait Road, Bay View"
