07045001,Kahukuraawhitia,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
07045002,Kahukuranui,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
07045003,Ng?i Rangawhakairi,Kohunui,"Pirinoa Road, Pirinoa"
07045004,Ng?i Tahu,Hurunui o Rangi,"Gladstone Road, Gladstone"
07045005,Ng?i Taneroroa,Hurunui o Rangi,"Gladstone Road, Gladstone"
07045006,Ng?i Taneroroa,Motuwairaka,"274 Riversdale Road, Riversdale"
07045007,Ng?i Tumapuhia-a-Rangi,Ng?i Tumapuhia a Rangi ki Okautete,"65 Homewood Road, Okautete, Homewood"
07045008,Ng?ti Hikawera o Kahungunu,Hau Ariki,"Regent Street, Martinborough"
07045009,Ng?ti Hinewaka,Hurunui o Rangi,"Gladstone Road, Gladstone"
07045010,Ng?ti Kahukuranui o Kahungunu Kauiti,P?p?wai,"Pah Road, P?p?wai"
07045011,Ng?ti Kaparuparu,Hurunui o Rangi,"Gladstone Road, Gladstone"
07045012,Ng?ti Meroiti,P?p?wai,"Pah Road, P?p?wai"
07045013,Ng?ti Moe,Hurunui o Rangi,"Gladstone Road, Gladstone"
07045014,Ng?ti Moe,P?p?wai,"Pah Road, P?p?wai"
07045015,Ng?ti Parera,Hurunui o Rangi,"Gladstone Road, Gladstone"
07045016,Ng?ti R?kairangi,Kohunui,"Pirinoa Road, Pirinoa"
07045017,Ng?ti Rangitataia,Hurunui o Rangi,"Gladstone Road, Gladstone"
07045018,Ng?ti Rangitehewa,Hurunui o Rangi,"Gladstone Road, Gladstone"
07045019,Ng?ti Tatuki,Hurunui o Rangi,"Gladstone Road, Gladstone"
07045020,Ng?ti Te Ahuahu,Akura,"Akura Road, Masterton"
07045021,Ng?ti Te Hina,Akura,"Akura Road, Masterton"
07045022,Ng?ti Te Hina,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
07045023,Ng?ti Te Tomo o Kahungunu,Hurunui o Rangi,"Gladstone Road, Gladstone"
07045024,Ng?ti T?koko,Kohunui,"Pirinoa Road, Pirinoa"
07045025,Tahu o Kahungunu,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
07045026,Tamahau,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
07045027,Te Hika a P?p?uma ki Wairarapa,Te Hika a Papauma ki Whakataki,"Rangiwhakaaoma, Castlepoint"
07045028,Whiunga,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
