04015001,Ng?ti Hinekura,Pounamunui,"Whangamoa Drive, ?taramarae"
04015002,Ng?ti Hinekura,Te Waiiti,"SH 30, Rotoiti"
04015003,Ng?ti Hinerangi,T?heke (Opatia),"?kere Road, ?kere Falls"
04015004,Ng?ti Kahumatamomoe,Waiatuhi,"Hamurana Road, Mourea"
04015005,Ng?ti Kawiti,Tapuaeharuru,"SH 30 HInehopu, Rotoiti"
04015006,Ng?ti Paruaharanui,Taupari,"Hamurana Road, Mourea"
04015007,Ng?ti Paruaharanui,Waiatuhi,"Hamurana Road, Mourea"
04015008,Ng?ti Pikiao,Te Awhe o te Rangi,"Te Awhe Road, Maket?"
04015009,Ng?ti Pikiao,Tokerau,Maniatutu
04015010,Ng?ti Tamateatutahi,Tapuaeharuru,"SH 30 HInehopu, Rotoiti"
04015011,Ng?ti Te Rangiunuora,Punawhakareia,"Punawhakareia, SH 30, Rotoiti"
04015012,Ng?ti Te Rangiunuora,Taurua,"Taurua, SH 30, Rotoiti"
04015013,Ng?ti Te Rangiunuora,Te Takinga,"SH 33, ?kere Falls"
04015014,Ng?ti Te Takinga,Waiatuhi,"Hamurana Road, Mourea"
