06015001,Ng?i Tamakoro,Tutua (Paerauta),"226 Waione Road, Te Araroa"
06015002,Ng?i T?ne,Hinepare,"520 Rangitukia Road, Rangitukia"
06015003,Ng?i T?ne,?hinewaiapu,"750 Rangitukia Road, Rangitukia"
06015004,Ng?ti Hokop?,Hinepare,"520 Rangitukia Road, Rangitukia"
06015005,Ng?ti Hokop?,?hinewaiapu,"750 Rangitukia Road, Rangitukia"
06015006,Ng?ti Kahu,Punaruku,"4813 SH 35, Hicks Bay"
06015007,Ng?ti Nua,Hinepare,"520 Rangitukia Road, Rangitukia"
06015008,Ng?ti Nua,?hinewaiapu,"750 Rangitukia Road, Rangitukia"
06015009,Ng?ti Putaanga,Kaiwaka,"Poroporo Road, Tikitiki"
06015010,Ng?ti Putaanga,Putaanga,"1945-1973 SH 35, Tikitiki"
06015011,Ng?ti Tuere,Hinemaurea ki Wharek?hika,"Marae Road, Hicks Bay"
06015012,Ng?ti Tuere,Hinerupe,"Paikea Street, Te Araroa"
06015013,Ng?ti Tuere,Tutua (Paerauta),"226 Waione Road, Te Araroa"
06015014,Te Wh?nau a Hinepare,Hinepare,"520 Rangitukia Road, Rangitukia"
06015015,Te Wh?nau a Hinerupe,Awatere,"3595 SH 35, Te Araroa"
06015016,Te Wh?nau a Hinerupe,Hinerupe,"Paikea Street, Te Araroa"
06015017,Te Wh?nau a Hinerupe,Hurae,"346 Kopuapounamu Road, Te Araroa"
06015018,Te Wh?nau a Hinerupe,Kaiwaka,"Poroporo Road, Tikitiki"
06015019,Te Wh?nau a Hinerupe,R?hui,"1900 SH 35, North Tikitiki"
06015020,Te Wh?nau a Hunaara,Matah? o Te Tau,"958 Te Araroa - East Cape Road, Horoera"
06015021,Te Wh?nau a Hunaara,?hinewaiapu,"750 Rangitukia Road, Rangitukia"
06015022,Te Wh?nau a Karuai,Hinerupe,"Paikea Street, Te Araroa"
06015023,Te Wh?nau a Karuai,Karuai,"447B Maraehara Road, Tikitiki"
06015024,Te Wh?nau a Karuai,Waiomatatini,"1212 - 1614 Waiomatatini Road, Ruat?ria"
06015025,Te Wh?nau a R?kaimataura,R?hui,"1900 SH 35, North Tikitiki"
06015026,Te Wh?nau a Rerewa,Hinepare,"520 Rangitukia Road, Rangitukia"
06015027,Te Wh?nau a Rerewa,?hinewaiapu,"750 Rangitukia Road, Rangitukia"
06015028,Te Wh?nau a Takimoana,?hinewaiapu,"750 Rangitukia Road, Rangitukia"
06015029,Te Wh?nau a Tapaeururangi,P?taka,"7157 SH 35, P?taka"
06015030,Te Wh?nau a Tapuhi,Taumata o Tapuhi,"Rangitukia Road, Rangitukia"
06015031,Te Wh?nau a Te Aotak?,Hinemaurea ki Wharek?hika,"Marae Road, Hicks Bay"
06015032,Te Wh?nau a Te Uruahi,Tinatoka,"843 SH35, Tikitiki"
06015033,Te Whanau a Tinatoka,Tinatoka,"843 SH35, Tikitiki"
06015034,Te Wh?nau a Tuwhakairiora,Hinemaurea ki Wharek?hika,"Marae Road, Hicks Bay"
06015035,Te Wh?nau a Tuwhakairiora,Hinerupe,"Paikea Street, Te Araroa"
06015036,Ng?i Taharora,Taharora,"603 Kopuaroa Road, Waipiro Bay"
06015037,Ng?i Tangihaere,Kariaka,"7242 SH 35, Ruat?ria"
06015038,Ng?i Tangihaere,Ruataupare,"853 T?p?roa Road, Ruat?ria"
06015039,Ng?i Tangihaere,Whareponga,"1268 Whareponga Road, Ruat?ria"
06015040,Ng?ti Horowai,Te Horo,"Awanui Road, Port Awanui"
06015041,Ng?ti Rangi,Reporua,"634 Reporua Road, Ruat?ria"
06015042,Ng?ti Uep?hatu,Mangahanea,"227 Tuparoa Road, Ruat?ria"
06015043,Ng?ti Uep?hatu,Uep?hatu,"Whakarua Park Road, Ruat?ria"
06015044,Ng?ti Uep?hatu,Umuariki,"787 T?p?roa Road, T?p?roa"
