09085001,Ng?i Tuhi Ariki,Tuhi Ariki,"Oruakura Junction, Raetihi"
09085002,Ng?ti H?oi,Tirohia,"Tukaki Road, Karioi"
09085003,Ng?ti Parenga,Kuratahi,"Ruanui Road, Taihape"
09085004,Ng?ti Patutokotoko,Mo te Katoa,"Valley Road, Raetihi"
09085005,Ng?ti Patutokotoko,P?tiki,"Takarangi St, Whanganui"
09085006,Ng?ti Patutokotoko,Waitahup?rae,Ruat?t? Valley
09085007,Ng?ti Rangihaereroa,Tirorangi,"742 Whangaehu Valley Road, Tangiwai"
09085008,Ng?ti Rangi-ki-tai,Te Ao Hou,"Somme Parade, Aramoho"
09085009,Ng?ti Rangipoutaka,Not yet identified,
09085010,Ng?ti Rangiteauria,Tirorangi,"742 Whangaehu Valley Road, Tangiwai"
09085011,Ng?ti Rangituhia,Kuratahi,"Ruanui Road, Taihape"
09085012,Ng?ti Rangituhia,Raketapauma,"Maukuku Road, Taihape"
09085013,Ng?ti Tongaiti,Ng? M?kai,"Oruakukuru Road, Karioi, Ohakune"
09085014,Ng?ti Tongaiti,Tirorangi,"742 Whangaehu Valley Road, Tangiwai"
09085015,Ng?ti Tui-o-Nuku,Maung?rongo,"Burns Street, Ohakune"
09085016,Uenukumanawawiri,Marangai,"Marangai, Raetihi"
09085017,Uenukumanawawiri,Mo te Katoa,"Valley Road, Raetihi"
09085018,Uenukumanawawiri,Raetihi,"49 Raetihi - Oh?kune Road, Raetihi"
