05035001,Ng?i Tamarawaho,Huria,"Te Kaponga Street, Judea"
05035002,Ng?i Te Ahi,Hairini,"Tamahika Street, Hairini"
05035003,Ng?ti Hangarau,Hangarau (Peterehema),"219 Bethlehem Road, Bethlehem"
05035004,Ng?ti Kahu,Te Wairoa,"Waih? Road, Bethlehem"
05035005,Ng?ti Pango,Te Wairoa,"Waih? Road, Bethlehem"
05035006,Ng?ti Rangi,Te Wairoa,"Waih? Road, Bethlehem"
05035007,Ng?ti Ruahine,Waimapu (Ruahine),"Waimapu P? Road, Tauranga"
05035008,Ng?ti Taka,Tutereinga,"Tangitu Road, Te Puna"
05035009,Ng?ti Te Wai,Tuapiro,"Hikurangi Road, Katikati"
05035010,Pirir?kau,Paparoa,"Paparoa Road, Te Puna"
05035011,Pirir?kau,Pout?terangi,"Pitua Road, Te Puna"
05035012,Pirir?kau,Tawhitinui,"Old Waihi Road, ?mokoroa"
05035013,Pirir?kau,Tutereinga,"Tangitu Road, Te Puna"
