08065001,Ahitahi,Whakaahurangi,"Celia Street, Stratford"
08065002,Arauk?ku,Ketemarae (Ng?rongo),"824 Mountain Road, Normanby"
08065003,H?mua,Ng?tiki,"Ararata Road, H?wera"
08065004,H?mua,Taiporoh?nui,"524 Ohangai Road, H?wera"
08065005,H?p?tiki,Taiporoh?nui,"524 Ohangai Road, H?wera"
08065006,Ng? Ariki,Meremere,"Meremere Road, Ohangai"
08065007,Ng? Ariki,Mokoia,"SH 2, Mokoia"
08065008,Ng?ti Hawe,Arar?t?,Arar?t?
08065009,Ng?ti Hawe,Ng?tiki,"Ararata Road, H?wera"
08065010,Ng?ti Hine,Meremere,"Meremere Road, Ohangai"
08065011,Ng?ti Hine,Pariroa,"Pariroa Road, Kakaramea"
08065012,Ng?ti Hine,Whenuakura,"749 SH 3, Whenuakura"
08065013,Ng?ti K?tuku,Pariroa,"Pariroa Road, Kakaramea"
08065014,Ng?ti Ringi,Pariroa,"Pariroa Road, Kakaramea"
08065015,Ng?ti T?kou,Manutahi (Te Takere),"Upper Taumaha Road, Manutahi"
08065016,Ng?ti T?newai,Wharepuni,"Fraser Road, H?wera"
08065017,Ng?ti T?paea,Wharepuni,"Fraser Road, H?wera"
08065018,Ng?ti T?pito,Pariroa,"Pariroa Road, Kakaramea"
08065019,Rangit?whi,Wai o Turi,"250 Pilot Station Road, P?tea"
08065020,Tuatahi,Pariroa,"Pariroa Road, Kakaramea"
08065021,T?whakaehu,Meremere,"Meremere Road, Ohangai"
