09075001,Hikakainga,?paea,"675 Spooners Hill Road, Taihape"
09075002,Ng?i Te Taenui,Kaiewe,"Cnr. Spooners Hill Rd. and Pungatawa Rd., Taihape"
09075003,Ng?i Te Taenui,?paea,"675 Spooners Hill Road, Taihape"
09075004,Ng?ti Hinetai,?paea,"675 Spooners Hill Road, Taihape"
09075005,Ng?ti Tama T?turu,Kaiewe,"Cnr. Spooners Hill Rd. and Pungatawa Rd., Taihape"
09075006,Ng?ti Tama T?turu,?paea,"675 Spooners Hill Road, Taihape"
09075007,Ng?ti Tamakaiaorangi,?paea,"675 Spooners Hill Road, Taihape"
09075008,Ng?ti Tamakaitangi,Kaiewe,"Cnr. Spooners Hill Rd. and Pungatawa Rd., Taihape"
09075009,Ng?ti Tamakaitangi,?paea,"675 Spooners Hill Road, Taihape"
09075010,Ng?ti Tamapinea,?paea,"675 Spooners Hill Road, Taihape"
09075011,Ng?ti Tamawhiti,?paea,"675 Spooners Hill Road, Taihape"
09075012,Ng?ti Tuope,?paea,"675 Spooners Hill Road, Taihape"
09075013,Ng?ti T?takaroa,?paea,"675 Spooners Hill Road, Taihape"
09075014,Rangitoea,?paea,"675 Spooners Hill Road, Taihape"
