04115001,Ng?i Tamarangi,Hahuru,"Onep? Springs Road, Onep?"
04115002,Ng?i Tamarangi,?niao,"Thornton Road, Matat?"
04115003,Ng?i Tamarangi,Tohia o te Rangi,"Spencer Avenue, Kawerau"
04115004,Ng?ti Iramoko,Ng?ti Umutahi,"Edgecumbe Highway, Matat?"
04115005,Ng?ti Irawharo,Hahuru,"Onep? Springs Road, Onep?"
04115006,Ng?ti Manuwhare,?niao,"Thornton Road, Matat?"
04115007,Ng?ti Peehi,Hahuru,"Onep? Springs Road, Onep?"
04115008,Ng?ti Poutomuri,Hahuru,"Onep? Springs Road, Onep?"
04115009,Ng?ti Umutahi,Hahuru,"Onep? Springs Road, Onep?"
04115010,Ng?ti Umutahi,Ng?ti Umutahi,"Edgecumbe Highway, Matat?"
04115011,Ng?ti Umutahi,?niao,"Thornton Road, Matat?"
04115012,Te Aotahi,Hahuru,"Onep? Springs Road, Onep?"
04115013,Te T?wera,Ng?ti Umutahi,"Edgecumbe Highway, Matat?"
