05135001,Ng?i Tamarangi,Hahuru,"Onep? Springs Road, Onep?"
05135002,Ng?i Tamarangi,?niao,"Thornton Road, Matat?"
05135003,Ng?i Tamarangi,Tohia o te Rangi,"Spencer Avenue, Kawerau"
05135004,Ng?ti Iramoko,Ng?ti Umutahi,"Edgecumbe Highway, Matat?"
05135005,Ng?ti Irawharo,Hahuru,"Onep? Springs Road, Onep?"
05135006,Ng?ti Manuwhare,?niao,"Thornton Road, Matat?"
05135007,Ng?ti Peehi,Hahuru,"Onep? Springs Road, Onep?"
05135008,Ng?ti Poutomuri,Hahuru,"Onep? Springs Road, Onep?"
05135009,Ng?ti Umutahi,Hahuru,"Onep? Springs Road, Onep?"
05135010,Ng?ti Umutahi,Ng?ti Umutahi,"Edgecumbe Highway, Matat?"
05135011,Ng?ti Umutahi,?niao,"Thornton Road, Matat?"
05135012,Te Aotahi,Hahuru,"Onep? Springs Road, Onep?"
05135013,Te T?wera,Ng?ti Umutahi,"Edgecumbe Highway, Matat?"
