01085001,Ng?ti Koror?,P?taua,P?taua,,,,,
01085002,Ng?ti Manuhiri,?maha,"?maha Block Access Road, Leigh",,,,,
01085003,Ng?ti R?hua,Kawa,"Kawa Bay, Aotea / Great Barrier Island",,,,,
01085004,Ng?ti R?hua,Motairehe,"Katherine Bay, Aotea / Great Barrier Island",,,,,
01085005,Ng?ti Takapari,Ngunguru,"Waiotoi Road, Ngunguru",,,,,
01085006,Ng?ti Toki-ki-te-Moananui,Matap?uri,"Mackie Place, Matap?uri Bay",,,,,
01085007,Te ?ki Tai,Matap?uri,"Mackie Place, Matap?uri Bay",,,,,
01085008,Te ?ki Tai,Whanan?ki,"1836 Whananaki North Road, Whananaki",,,,,
01085009,Te Patuharakeke,Takahiwai,"229 Takahiwai Road, Takahiwai",,,,,
01085010,Te Uri o Hikihiki,M?kau,"2355 Russell Road, M?kau",,,,,
01085011,Te Uri o Hikihiki,Ng?tiwai,"1561 Rawhiti Road, Ng?iotonga",,,,,
01085012,Te Uri o Hikihiki,??kura,"??kura, Whangaruru",,,,,
01085013,Te Uri o Hikihiki,?tetao Reti (?tetao),"2809 Russell Road, Punaruku",,,,,
01085014,Te Uri o Hikihiki,Tuparehuia,"Whangaruru North Road, Whangaruru",,,,,
01085015,Te Wh?nau a Rangiwhaakahu,Matap?uri,"Mackie Place, Matap?uri Bay",,,,,
01085016,Te Wh?nau Whero,Whanan?ki,"1836 Whananaki North Road, Whananaki",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
