04105001,Ng?ti Hurungaterangi,Hurungaterangi (Ng?puna),"Hurunga Avenue, Ng?puna"
04105002,Ng?ti Hurungaterangi,Te Papaiouru,"Hurunga Street, ?hinemutu"
04105003,Ng?ti Karenga,Koutu (Karenga),"Koutu Road, Koutu"
04105004,Ng?ti Korouateka,?whata (Hinemoa),"Hinemoa Point, ?whata"
04105005,Ng?ti Ng?raranui,Waitet? (Weriweri),"Waiteti Road, Ngongotah?"
04105006,Ng?ti P?kaki,Te Papaiouru,"Hurunga Street, ?hinemutu"
04105007,Ng?ti Rangitunaeke,Waikuta,"SH5, Ngongotah?"
04105008,Ng?ti Rautao,Te Awawherowhero,"Ngatai Avenue, Ngongotah?"
04105009,Ng?ti Taeotu,Hurungaterangi (Ng?puna),"Hurunga Avenue, Ng?puna"
04105010,Ng?ti Taeotu,Te Papaiouru,"Hurunga Street, ?hinemutu"
04105011,Ng?ti Taharangi,T?rewa Pounamu (Taharangi),"T?rewa Road, Rotorua"
04105012,Ng?ti Te Ng?kau,T?rukenga,"T?rukenga Marae Road, SH 5, Ngongotah?"
04105013,Ng?ti Te Rangiwaho,Te Papaiouru,"Hurunga Street, ?hinemutu"
04105014,Ng?ti te Roro o te Rangi,?whata (Hinemoa),"Hinemoa Point, ?whata"
04105015,Ng?ti te Roro o te Rangi,Te Kuirau (Utuhina),"Ariariterangi Street, ?hinemutu"
04105016,Ng?ti te Roro o te Rangi,Te Papaiouru,"Hurunga Street, ?hinemutu"
04105017,Ng?ti Tunohopu,Para te Hoata (Tunohopu),"Tunohopu Street, ?hinemutu"
04105018,Ng?ti Tunohopu,Te Papaiouru,"Hurunga Street, ?hinemutu"
04105019,Ng?ti Tura,T?rukenga,"T?rukenga Marae Road, SH 5, Ngongotah?"
04105020,Ng?ti Tuteaiti,Parawai,"Taui Street, Ngongotah?"
04105021,Ng?ti Whakaue,Para te Hoata (Tunohopu),"Tunohopu Street, ?hinemutu"
04105022,Ng?ti Whakaue,Waikite,"Kiharoa Street, Rotorua"
04105023,Ng?ti Whakaue ki Maket?,Whakaue (Tapiti),"643 Maket? Road, Maket?"
04105024,Te Whatumairangi,Parawai,"Taui Street, Ngongotah?"
