01095001,Ng?ti Hinga,Ahikiwi,"Ahikiwi Road, Kaih?",,,,,,
01095002,Ng?ti Torehina,Taita,"1968 SH 12, M?maranui",,,,,,
01095003,Not yet identified,K?pehu,"Sills Road, Mititai",,,,,,
01095004,Not yet identified,Tama te Uaua,"Kaih? Wood Road, Kaih?",,,,,,
01095005,Te Kuihi,Te Houhanga,"Station Road, Dargaville",,,,,,
01095006,Te Popoto,?t?rei,"?t?rei Settlement Road, Aratapu",,,,,,
01095007,Te Roroa,Pananawe,"Tiopira Roadway, Waipoua",,,,,,
01095008,Te Roroa,Te Houhanga,"Station Road, Dargaville",,,,,,
01095009,Te Roroa,Waikar?,"Kerr's Road, Aranga",,,,,,
01095010,Te Roroa,Waikaraka,"166 Kaih? Wood Road, Kaih?",,,,,,
01095011,Te Uri o Hau,Naumai,"4936 SH 12, Naumai, Ruawai",,,,,,
01095012,Te Uri o Hau,?t?rei,"?t?rei Settlement Road, Aratapu",,,,,,
01095013,Te Uri o Hau,R?pia,"1627 Pouto Road, R?pia",,,,,,
01095014,Patuharakeke,Takahiwai,"229 Takahiwai Road, Takahiwai",,,,,,
01095015,Te Kuihi,Tangiter?ria,"Pukehuia Road, Tangiter?ria",,,,,,
01095016,Te Parawhau,Korokota,"496 Tokiri Rd, T?toki",,,,,,
01095017,Te Parawhau,Tangiter?ria,"Pukehuia Road, Tangiter?ria",,,,,,
01095018,Te Uriroroi,Toetoe,"Toetoe Road, ?taika",,,,,,
01095019,Ng?ti Mauku,?ruawharo,"959 ?ruawharo Road, Wellsford",,,,,,
01095020,Ng?ti Tahuhu,?ruawharo,"959 ?ruawharo Road, Wellsford",,,,,,
01095021,Te Popoto,R?whitiroa,"Karakanui Road, Tinopai",,,,,,
01095022,Te Uri o Hau,Ng? Tai Whakarongorua,"Chadwick Road, Tinopai",,,,,,
01095023,Te Uri o Hau,?ruawharo,"959 ?ruawharo Road, Wellsford",,,,,,
01095024,Te Uri o Hau,?tamatea,"Tanoa Road, Whakapirau",,,,,,
01095025,Te Uri o Hau,Parirau,"Tana Rd, Matakohe",,,,,,
01095026,Te Uri o Hau,R?whitiroa,"Karakanui Road, Tinopai",,,,,,
01095027,Te Uri o Hau,Te K?whai,"864 Te K?whai Rd, Matakohe",,,,,,
01095028,Te Uri o Hau,Te Pounga,"130 Nathan Road, Kaiwaka",,,,,,
01095029,Te Uri o Hau,Waihaua (Arapaoa),"449 Arapaoa Road, Tinopai",,,,,,
01095030,Te Uri o Hau,Waik?retu (P?uto),"6424 P?uto Road, Te K?puru",,,,,,
01095031,Te Uri o Hau,Wai?hou,"Hukatere, Tinopai",,,,,,
01095032,Te Uri o Hau,Waiotea (Tinopai),"Ng?toto Road, Te K?whai",,,,,,
,,,,,,,,,
