07065001,Hinetearorangi,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
07065002,Ng?i Tamahau,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
07065003,Ng?ti H?mua,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
07065004,Ng?ti Hinetauira,- No existing marae -,
07065005,Ng?ti M?tangiuru,Akura,"Akura Road, Masterton"
07065006,Ng?ti Meroiti,P?p?wai,"Pah Road, P?p?wai"
07065007,Ng?ti Moe,P?p?wai,"Pah Road, P?p?wai"
07065008,Ng?ti Taimahu,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
07065009,Ng?ti Tangatakau,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
07065010,Ng?ti Tauiao,P?p?wai,"Pah Road, P?p?wai"
07065011,Ng?ti Te Atawh?,- No existing marae -,
07065012,Ng?ti Te Hina,Akura,"Akura Road, Masterton"
07065013,Ng?ti Te Noti,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
07065014,Ng?ti Te Raetea,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
07065015,Ng?ti Te Whakamana,- No existing marae -,
07065016,Ng?ti Te Wh?tui,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
07065017,Ng?ti T?koko,Kohunui,"Pirinoa Road, Pirinoa"
07065018,Ng?ti T?koko,P?p?wai,"Pah Road, P?p?wai"
07065019,Ng?ti Hineaute,Te Hotu Manawa,"138 Maxwell's Line, Palmerston North"
07065020,Ng?ti Kapu?rangi,Te Hotu Manawa,"138 Maxwell's Line, Palmerston North"
07065021,Ng?ti Mairehau,Motuiti,"278 SH1, Himatangi"
07065022,Ng?ti Rangiaranaki,Te Hotu Manawa,"138 Maxwell's Line, Palmerston North"
07065023,Ng?ti Rangitepaia,Te Hotu Manawa,"138 Maxwell's Line, Palmerston North"
07065024,Ng?ti Tauira,Te Hotu Manawa,"138 Maxwell's Line, Palmerston North"
