10035001,Ng?ti Hineaute,Te Hotu Manawa,"138 Maxwell's Line, Palmerston North"
10035002,Ng?ti Kapu?rangi,Te Hotu Manawa,"138 Maxwell's Line, Palmerston North"
10035003,Ng?ti Mairehau,Motuiti,"278 SH1, Himatangi"
10035004,Ng?ti Rangiaranaki,Te Hotu Manawa,"138 Maxwell's Line, Palmerston North"
10035005,Ng?ti Rangitepaia,Te Hotu Manawa,"138 Maxwell's Line, Palmerston North"
10035006,Ng?ti Tauira,Te Hotu Manawa,"138 Maxwell's Line, Palmerston North"
10035007,Ng?i Tahu,Hurunui o Rangi,"Gladstone Road, Gladstone"
10035008,Ng?i Tahu,Rakaut?tahi,"Snee Road, Takapau Plains"
10035009,Ng?ti H?mua,Pahiatua,"18 Riccarton Road, Pahiatua"
10035010,Ng?ti Matetapu,Pahiatua,
10035011,Ng?ti Mutuahi,M?kirikiri,"Makirikiri Road, Dannevirke"
10035012,Ng?ti Mutuahi,P?p?uma,"446 Aohanga Road, Pongaroa"
10035013,Ng?ti Mutuahi,Whiti te R? (Poherau),"56 Maharahara Road, Dannevirke"
10035014,Ng?ti Pakapaka,Kaitoki,"Weber Road, Dannevirke"
10035015,Ng?ti Pakapaka,P?p?uma,"446 Aohanga Road, Pongaroa"
10035016,Ng?ti Parakiore,P?p?uma,"446 Aohanga Road, Pongaroa"
10035017,Ng?ti Rangitotohu,Rakaut?tahi,"Snee Road, Takapau Plains"
10035018,Ng?ti Ruat?tara,Rakaut?tahi,"Snee Road, Takapau Plains"
10035019,Ng?ti Te Koro,Te Ahu a Turanga i Mua,"Tay Street, Woodville"
10035020,Ng?ti Te Rangiwhakaewa,Kaitoki,"Weber Road, Dannevirke"
10035021,Ng?ti Te Rangiwhakaewa,M?kirikiri,"Makirikiri Road, Dannevirke"
10035022,Ng?ti Te Rangiwhakaewa,Te Ahu a Turanga i Mua,"Tay Street, Woodville"
10035023,Ng?ti Whakawehi,Te Ahu a Turanga i Mua,"Tay Street, Woodville"
10035024,Te Hika a P?p?uma,P?p?uma,"446 Aohanga Road, Pongaroa"
10035025,Te Kapu?rangi,Pahiatua,"18 Riccarton Road, Pahiatua"
10035026,Hinetearorangi,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
10035027,Ng?i Tamahau,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
10035028,Ng?ti H?mua,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
10035029,Ng?ti M?tangiuru,Akura,"Akura Road, Masterton"
10035030,Ng?ti Meroiti,P?p?wai,"Pah Road, P?p?wai"
10035031,Ng?ti Moe,P?p?wai,"Pah Road, P?p?wai"
10035032,Ng?ti Taimahu,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
10035033,Ng?ti Tangatakau,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
10035034,Ng?ti Tauiao,P?p?wai,"Pah Road, P?p?wai"
10035035,Ng?ti Te Atawh?,P?p?wai,"Pah Road, P?p?wai"
10035036,Ng?ti Te Hina,Akura,"Akura Road, Masterton"
10035037,Ng?ti Te Noti,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
10035038,Ng?ti Te Raetea,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
10035039,Ng?ti Te Whakamana,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
10035040,Ng?ti Te Wh?tui,Te Oreore,"Te Ore Ore - Bideford Road, Masterton"
10035041,Ng?ti T?koko,Kohunui,"Pirinoa Road, Pirinoa"
10035042,Ng?ti T?koko,P?p?wai,"Pah Road, P?p?wai"
