06025001,Ng? P?tiki,M?t?wai,"Motu Road, M?t?wai"
06025002,Ng? P?tiki,T?kitimu,"573 Lavenham Road, Waituhi"
06025003,Ng? P?tiki,Tapuihikitia,"Tapuihikitia Road, Te Karaka"
06025004,Ng?i Tamatea,Taihamiti,"Taihamiti Lane, Whatatutu"
06025005,Ng?i T?ketenui,Parihimanihi,"Waihirere Domain Road, Waihirere"
06025006,Ngariki,M?ngatu,"38 Te Whiwhi Street, Whatatutu"
06025007,Ngariki,Te Wainui,"48A Mangamaia Road, Whatatutu"
06025008,Ng?ti M?t?wai,M?t?wai,"Motu Road, M?t?wai"
06025009,Ng?ti Wahia,M?ngatu,"38 Te Whiwhi Street, Whatatutu"
06025010,Ng?ti Wahia,Parihimanihi,"Waihirere Domain Road, Waihirere"
06025011,Ng?ti Wahia,Rangatira,"Rangatira Road, Te Karaka"
06025012,Te Wh?nau a Iwi,Tarere,"66A Pilmer Road, Makaraka"
06025013,Te Wh?nau a Kai,Ng?tapa,"Totangi Road, Ng?tapa"
06025014,Te Wh?nau a Kai,P?k?whai,"402 Lavenham Road, P?t?tahi"
06025015,Te Wh?nau a Kai,Rongopai,"473 Lavenham Road, Waituhi"
06025016,Te Wh?nau a Kai,T?kitimu,"573 Lavenham Road, Waituhi"
06025017,Te Wh?nau a Taupara,M?ngatu,"38 Te Whiwhi Street, Whatatutu"
06025018,Te Wh?nau a Taupara,Takipu,"2343 SH 2, Te Karaka"
06025019,Te Wh?nau a Taupara,Tapuihikitia,"Tapuihikitia Road, Te Karaka"
