09025001,Ng?ti Haua,Maniaiti,"458 SH 41, Maniaiti"
09025002,Ng?ti Haua,Morero,"143 Hakiaha Street, Taumarunui"
09025003,Ng?ti Haua,Ng?puwaiwaha,"31 Taumarunui Street, Taumarunui"
09025004,Ng?ti Hauaroa,Ng?puwaiwaha,"31 Taumarunui Street, Taumarunui"
09025005,Ng?ti Hekeawai,Maniaiti,"458 SH 41, Maniaiti"
09025006,Ng?ti Hekeawai,Morero,"143 Hakiaha Street, Taumarunui"
09025007,Ng?ti Hinewai,Wharauroa,"184 Taupo Road, Taumarunui"
09025008,Ng?ti Rangatahi,Wharauroa,"184 Taupo Road, Taumarunui"
09025009,Ng?ti Rangitengaue,Tawhata,"Tawhata, Whanganui River"
09025010,Ng?ti Te Wera,Kimihia,Taumarunui
09025011,Ng?ti T?,Tawhata,"Tawhata, Whanganui River"
09025012,Te ?whitu,Te K?ura,"SH 4, Te K?ura"
09025013,Ng?ti Uenuku,M?karanui,"505 Raetihi - Oh?kune Road, Raetihi"
09025014,Ng?ti Uenuku,Mangamingi,"350 Raetihi - Oh?kune Road, Raetihi"
09025015,Ng?ti Uenuku,Mo te Katoa,"Valley Road, Raetihi"
09025016,Ng?ti Uenuku,Raetihi,"49 Raetihi - Oh?kune Road, Raetihi"
09025017,Ng?ti Hinekura,Tieke,"Tieke, via Whanganui River"
09025018,Ng?ti Kaponga / Taumata M?hoe,Mangapapapa,via Whanganui River
09025019,Ng?ti Paku,Onepoto,via Whanganui River
09025020,Ng?ti R?r?,Parinui,via Whanganui River
09025021,Ng?ti T?horo,Te Poti,"Whanganui River Road, via Whanganui River"
09025022,Ng?ti Uenuku,Papatupu,"Manganuioteao, via Whanganui River"
09025023,Ng? Poutama,?hotu (Matahiwi),"3931 Whanganui River Road, Matahiwi"
09025024,Ng?ti Hau,Patiarero (Hiruh?rama),"5026 Whanganui River Road, Jerusalem"
09025025,Ng?ti Hau,Peterehema,Jerusalem
09025026,Ng?ti Kurawhatia,Paraweka,"2527 Pipiriki - Raetihi Road, Pipiriki"
09025027,Ng?ti Ruak?,Ruak? (R?nana),"4475 Whanganui River Road, R?nana"
09025028,Ng?ti Ruak?,Te Pou o Rongo,"4491 Whanganui River Road, R?nana"
09025029,Ng?ti T?newai,?hotu (Matahiwi),"3931 Whanganui River Road, Matahiwi"
09025030,Ng? Paerangi,Kaiwh?iki,"584 Kaiwhaiki Road, Whanganui"
09025031,Ng?ti Hine o Te R?,?toko,"3703 SH4, ?toko"
09025032,Ng?ti Hine o Te R?,R?kat?,"Papaiti Road, Whanganui"
09025033,Ng?ti Hinearo,Parikino,"Whanganui River Road, Parikino"
09025034,Ng?ti Hineoneone,K?kata (?tene),"2066 Whanganui River Road, Parikino"
09025035,Ng?ti P?moana,?tukopiri (Koriniti),"Koroniti P? Road, Matahiwi"
09025036,Ng?ti Tuera,Parikino,"Whanganui River Road, Parikino"
09025037,Ng?ti Tuera,Pungarehu,"627 Whanganui River Road, Pungarehu"
09025038,Ng?ti Tupoho,P?tiki,"Takarangi St, Whanganui"
09025039,Ng?ti Tupoho,Te Ao Hou,"Somme Parade, Aramoho"
09025040,Te Awa Iti,?toko,"3703 SH4, ?toko"
